Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Sale,Previous_owners,Additions
فولفو FH 12,2001,190000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,420,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن باسات,2000,36000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
شفروليه اوبترا,2007,28000,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
هونداي كليك,2008,42000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا فورتي,2009,44500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,99,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل أوميغا,1997,33000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,200000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا فورتي,2008,59500,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,82000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
كيا ريو,2007,3800,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,32123123,4+1,إمكانية التقسيط,للبيع فقط,رابعه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل استرا,1999,28500,أخضر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,120 الف,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
سكودا اوكتافيا,2009,55000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,000000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي الانترا,2006,30000,أزرق سماوي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1999,,,إمكانية التقسيط,للبيع فقط,,"مُكيّف,مسجل,فتحة سقف"
فولكسفاجن باسات,1998,38000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,166000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2007,50000,فيراني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,275000,4+1,نقدا فقط,للبيع أو التبديل,يد ثانيه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
رينو R5,1988,14500,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,,نقدا فقط,للبيع فقط,,"إغلاق مركزي,جنطات مغنيسيوم"
هونداي اكسنت,2013,67000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
اوبل كورسا,2013,54000,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
مازدا 6,2015,170000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,50000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
دايو ليجانزا,1999,23000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,
كيا سبورتاج,2011,89500,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,82700,,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
سكودا اوكتافيا,2008,60000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فولكسفاجن طوارق,2008,130000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,123000,4+1,نقدا فقط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فولكسفاجن جولف,2010,78000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,120000,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2008,63000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,500000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف,إغلاق مركزي,جهاز إنذار,جنطات مغنيسيوم,وسادة حماية هوائية"
ايسوزو تروبر,1999,59000,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3000,18000000,6+1,إمكانية التقسيط,للبيع أو التبديل,5,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
هونداي جيتس,2008,41000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٥٠,٤+١,نقدا فقط,للبيع أو التبديل,٤,"إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
اوبل اسكونا,1984,11000,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,100000,4+1,نقدا فقط,للبيع فقط,4,
سكودا اوكتافيا,2007,60500,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,إمكانية التقسيط,للبيع فقط,,"جهاز إنذار,مسجل,جنطات مغنيسيوم"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سانغ يونغ Sym,2013,5000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,125,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
فولكسفاجن كادي,2014,105000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,60000,6+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سيت ابيزا,2014,58000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,80000,4+1,إمكانية التقسيط,للتبديل فقط,يد اولى,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
فيات دوبلو,2004,33000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,نقدا فقط,للبيع فقط,يد ثانية,"مسجل,جنطات مغنيسيوم"
دايو لانوس,2002,26999,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
كيا بيكانتو,2014,52000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1100,20000,4+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,جهاز إنذار,مسجل"
هونداي سانتافيه,2014,135000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
مرسيدس C250,2015,175000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,30000,,نقدا فقط,للبيع فقط,0,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
بيجو 206,2007,28000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,160000,,نقدا فقط,للبيع فقط,يد رابعة,"مُكيّف,إغلاق مركزي,مسجل,وسادة حماية هوائية"
شفروليه اوبترا,2011,39000,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,110000,,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
فورد كونيكت,2005,45000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,1850,22000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,وسادة حماية هوائية"
فولكسفاجن باسات,2007,72500,بني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
هونداي فيرنا,2002,35000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,350000,4+1,إمكانية التقسيط,للبيع أو التبديل,٢,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
سكودا اوكتافيا,2014,120000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
هونداي اكسنت,2013,58000,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,75000,,نقدا فقط,للبيع فقط,,مُكيّف
اوبل استرا,1997,26000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف,مسجل"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
ايسوزو  4800,2003,60000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,4800,700000,2+1,نقدا فقط,للبيع فقط,2,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فرش جلد,وسادة حماية هوائية"
هونداي توسان,2015,89000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,55,5+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
,,,,,,,,,,,,,,,"معرض السيارات,أسعار السيارات,حاسبة التأمين,التؤوريا"
سكودا اوكتافيا,2001,37000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,٤٠٠٠٠٠,١+٤,نقدا فقط,للبيع أو التبديل,يد ثالثه,"مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
دايو 2000,2000,30000,زيتي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,5+1,إمكانية التقسيط,للبيع أو التبديل,6,"مُكيّف,مسجل,جنطات مغنيسيوم,وسادة حماية هوائية"
تويوتا كورولا,1998,44000,بنفسجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,٤+١,إمكانية التقسيط,للبيع فقط,,"مُكيّف,إغلاق مركزي,مسجل,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية"
